,Faulty inverter deatils,,Type,ISSUE,C.P or Distr./ FE Replacement S.N,State ,EPC CUSTOMER DETAILS,FE Engineer,"Venkatesh Remark
Sales stock New Replacement",,
DATE,Rating /Ph,Serial Number ,FG/FM,,,,,,,,
23-07-2024,5KW-1PH,2404136859,,"Inverter not working with Error code of F19, After Factory reset also same issue contioues",2404136973,Kerala,ALLSUN ENERGY,ARUN NAIR,,,
18-11-2024,5KW-1PH,2404106251,,MPPT SHORT,2408166633,Kerala,SN ENERGY,RAMMURTHY,,,
20-11-2024,5KW-1PH,2404146094,,DC AMPS ZERO,2404136813,Kerala,REAL POWER(8893608899),RAMMURTHY,,,
27-11-2024,5KW-1PH,2408171034,,MPPT SHORT,2408166651 / 2404136824,Kerala,SPECTRUM TECHNO,RAMMURTHY,FE,,
24-12-2024,4KW-1PH,2404131359,,F35 issue voltage not sensing inverter,2404187014,Andra,Selco solar (ANDHRA),ANANDH / VIGNESH,FE,,
25-12-2024,5KW-1PH,2404106286,,MPPT SHORT,2404104247 / 2404106285,Kerala,SOLWATT,Vignesh,FE,,
03-01-2025,5KW-1PH,2404136984,,F39,2408156549/ 2408156540,Kerala,REFFTECH SOLAR kerala,Anand,FE,,
28-02-2025,3.3KW-1PH,2408146989,,inverter display not working,2408146808 / 2404141816,Uttra Pradesh,S P Enterprise-Varanasi,satyendra,FE,,
29-03-2025,6 KW-3PH,2408101283,,mppt short,2408101295 /2412223033,Uttra Pradesh,ASHISH ENTERPRISES,Satyendra,FE,,
15-03-2025,5KW-1PH,2408154786,,DL AP not visible,2408166763 ( Repaired)  / ,Kerala,ALLSUN ENERGY - Kerala,ROSHAN,,,
19-03-2025,5KW-1PH,2408166689,,Inverter not producing and then not turning ON,2404136822 / 2501070167,Kerala,REAL POWER SYSTEM- Kerala,ROSHAN,FE,,
24-03-2025,5KW-1PH,2404106273,,Inverter not turning ON. new installation.,2404106285 / 2501076514,Kerala,MILASHIE POWER- Kerala,ROSHAN,FE,,
29-03-2025,5KW-1PH,2408166737,,Inverter not producing Power,2404146086 / 2501070156,Kerala,ZAKION RENEWABLES- Kerala,ROSHAN,FE,,
12-03-2025,3KW-1PH,2408087498,,INVERTER NOT TURNING ON EVEN AFTER GIVING DC SUPPLY,2411123388 / 2411125119 ,Karnataka,selco solar karkala,ANANDH,FE,,
26-03-2025,10KW-3PH,2404224517,,Inverter not turning ON,2407098002,Kerala,Sekhmet Energy,ROSHAN,FE,,
04-04-2025,3KW-1PH,2411125778,,Inverter not turning ON. new installation.,2404110536,Karnataka,"Sincere Solutions-Bangalore, KA",ROSHAN,FE,,
03-04-2025,5KW-1PH,2404136836,,Low production issue & Fan fault,2404106260 / 2506084399-FE,Kerala,"Highgrid Associates, Kannur-KL",ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
11-04-2025,5KW-1PH,2411096350,,MPPT Short.,2411096548 / 2501076550,Kerala,Nazim - Calicut Kerala,ROSHAN,FE,,
16-04-2025,5KW-1PH,2408166714,,Inverter not producing Power even DC AC Voltage supplied,2404064110 / 2501075012,Kerala,Zakion renewables - Ottappalam -KL,ROSHAN,FE,,
04-04-2025,10KW-3PH,2404126461,,Inverter not producing Power with DC and AC supply,2404224536,Kerala,Ray Technologies-Trivandrum ,ROSHAN,FE PENDING ,,
28-04-2025,2.7KW-1PH,2404082947,,F39 – AC current sensing high,2404110536,Kerala,Selco Solar - Kollam,ROSHAN,FE,,
10-04-2025,3KW-1PH,2408087169,,MPPT SHORT,2411123213  / 2408131407  ,Karnataka,Selco Solar - UDUPI,Satyendra,FE,,
23-04-2025,3KW-1PH,2411141136,,Inverter data not getting.logger is onlinne,2404110716,Kerala,"Sundropes energy solutions,Kasargod - KL",ROSHAN,FE,,
27-04-2025,5KW-1PH,2408166722,,Inverter not turning ON ,"2404136859 - FE(P)
2506084568-FE",Kerala,Voltix Technologies -Trivandrum ,Satyendra,"Service Spare inverter (Failed )
FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025",,Service spare RE
28-04-2025,3KW-1PH,2411141137,,AP not visiblle ,"2408154572 Service standby
2501097706 (SUNAP)
2505146536  ( FESTON )",Kerala,Orbit Technology- Kerala ,ROSHAN,"Service Spare inverter / New replacement done by SUNAP 
18-07-2025",From factory Service replacemnet is done 26-08-2025 FE-2505146536  ,
28-04-2025,2.7KW-1PH,2404082947,,Over AC current alert F39,2404110536 - FE,Karnataka,Selco Solar Light -Manipal ,ROSHAN,Service Spare inverter ,FE,Service spare RE
24-04-2025,5KW-1PH,2404146160,,Over AC current warning F39,2408171034,,,ROSHAN,"SPARE INV at SITE 
Faulty to BLR ",,
30-04-2025,10KW-3PH,2407214358,,self check repeating,2404126461 - FE,Kerala,SEKHMET ENERGY INDIA -kottyam,ROSHAN,Service Spare inverter ,FE,Service spare RE
21-11-2025,LOGGER,2947587574,,12KW-3PH-ONGRID 2404884517 - Logger issue,LOGGER : 2974129156,Kerala,SEKHMET ENERGY KERALA,ROSHAN,FE,,
18-12-2025,LOGGER,2944263200,,12KW -3PH - 2404126454  Logger issue,LOGGER : 2390110943,Karnataka,Afra engineers - SUNAP KL,HARI-DEYE,FE,,
14-02-2025,LOGGER,2993719762,,8KW-3PH - 2408101426  Logger issue,ALLSUN Service spare ,Kerala,Reed Energy- ALLSUN KL,ROSHAN,,,
22-02-2025,LOGGER,2941452410,,NA,ALLSUN Service spare ,Kerala,Dauthya tehcnologies,ROSHAN,,,
22-02-2025,LOGGER,2993389825,,NA,New Logger : 2399272398,Kerala,Sundropes Energy solution,ROSHAN,,,
12-03-2025,LOGGER,2985043603,,10KW-3Ph,New logger : 2332088469,Kerala,Sundropes Energy solution,ROSHAN,,,
22-04-2025,LOGGER,2404226496,,10KW-3Ph,New logger : 2731491946,Kerala,Poweron calicut ,ROSHAN,,,
02-05-2025,10KW-3PH,2404226505,,Multiple errror occuring F18. F55,2501106550  / 2501097791 -FE,Kerala,Highgrid Associates,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
05-05-2025,10KW-3PH,2404224536,,Inverter not turning ON - ticking sound only ,2501106569  / 2501091638 -FE,Kerala,Ray technologies - Thiruvandram,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
5-5-2025,3KW-1PH,2408087167,,inverter not turned on,2411094053 -FE,Karnataka,Selco Solar Light Pvt Ltd (9844274552)- GP,ANANDH,Service Spare inverter ,FE,Service spare RE
24-05-2025,8KW-3PH,2404184314,,Self check error repeated ,2501102313 / 2503293680,Karnataka,Arkaa green Bikaner-Bikaner,Satyendra,Replaced done 02-07-2025,FE,
17-05-2025,10KW-3PH,2408197103,,Selfcheck repeated error MPPT,25011030201 / 2503313384,Karnataka,SUNAP-KA // S Technologies,PRAVEEN,Replaced done 30-5-25,FE,
21-05-2025, 4KW- 1PH,2408154754,,Inverter not getting Turn ON (Display Blank),2404196837  / 2503276197,Karnataka,ROOFSOL ,PRAVEEN,Replacement is done 08-08-2025,"Scarpia courier chennai to Roofsol 
ID : 62986642",FE
20-05-2025, 5KW-3PH,2408101338,,F35 Error * multiple issue ,// 2404184253 ,Karnataka,SELCO SOLAR - KA,Vignesh,Service Spare inverter -Factory,"G.P - Service spare inverter 
8KW-3Ph : 2404224552 ",Service spare RE
28-05-2025, 5KW -1PH,2410306587,,"N-PE voltage variation, measuring around 12V.F19 Error", 2411096701 /--,Uttra Pradesh,"Nexa Power Solution, Lucknow","ROSHAN 
SATYENDRA",FE replacement pending ,Vignesh APproved it,
02-06-25,10KW - 3PH,2501106780,,"F10 Aux power board failure error, Inverter not producing lower daily units",2501105194  / 2501096498-FE,Kerala,Poweron Solar ,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
31-06-2025,3KW- 1PH,24081312339,,Inverter not getting Turn ON (Display Blank),- / 2408154677,Karnataka,Selco solar light private limited-,PRAVEEN,FE Replacement is done,,FE
28-06-2025,5.2KW - 1PH,2503226518,,The inverter display remains unresponsive despite receiving DC supply.,2503222139 / 2501087217 FE,Uttra Pradesh,bharat solar.lucknow,Satyendra,FE Replacement is done,11-09-2025 from factory SCORPION -63042204,
10-07-2025,10KW-3PH,2411135343,,F64 Temp sensor fAulty ,2503311318 /  2503311187,Uttra Pradesh,--,Satyendra,FE Replacement is done,"19-07-2025 courieredscorpiagroup tracking no :
62934218",FE
12-07-2025,5KW-1PH,2408176049,,"wifi not connecting,>>wizard not displaying any of the network",-/ 2501082412,Uttra Pradesh,"Metawave, Gronfro Innovations LLP",Roshan,FE Replacement is done,19.07.2025 via DTDC (Tracking No: D3500975314),FE
24-07-2025,3.3KW -1PH,2501041306,,F24 Error ,2411136070 FE / 2504306256,Uttra Pradesh,"solar cube green(varanasi)
chaitnya shree (C.P)","PRAVEEN
Devesh ",FE Replacement is done,"Replacement done by C.P 30-07-2025
11-09-2025 from factory SCORPION -63042204
",
23-07-2025,3.3KW -1PH,2411095120,,MPPT Short DC side ,FE 24111350892 / 2505066030,Uttra Pradesh,Shaswat Solar Solution AZAMGARH,"PRAVEEN
Devesh ",FE Replacement is done,"Replacement done by C.P 01-08-2025
11-09-2025 from factory SCORPION -63042204
",
29-07-2025,5.2KW - 1PH,2501077626,,comm error ,--- / 2505075687,Rajasthan,Rao Solar Energy,"HARSHI
PRAVEEN / DEVESH",FE Replacement is pending,,
30-07-2025,10KW-3PH,2405046448,,F55 Error,2503290780 /2503293708,Rajasthan,Green Life Solutions- MH,Devesh / Satyendra,FE Replacement is done,"From FE fatcory FE 20-08-2025
scorpion 62986613",
14-08-2025,6.2KW-1PH,2503226535,,Dc Side - MPPT short , 2503226590 / 2404106286  ,Rajasthan,"CP- Milan Solar 
solar solution company -2404106286  FE",Devesh / Satyendra,FE Replacement is done,"FE service replacement is done 
DTDC :-D3501286279",Service spare RE
04-08-2025,6KW -1PH,2501082563,,inverter Display off,2505081096,Karnataka,Vimco Solar,Devesh / Satyendra,FE Replacement is done,Replacment is done by FE 20-08-2025,
18-08-2025,5KW-1PH,"2505081057-/-
2505075872 ",,Not Generating power,,Andra pradesh,Energy Harvest- AP,Praveen,FE Replacement is done,"Service standby replacement done
19-08-2025",Service spare RE
19-08-2025,5KW-1PH,2404131568,,Dc Side - MPPT short ,2408176049,Uttra Pradesh,Radhya enterprises -Agra ,Devesh,FE Replacement is done,"FE factory service replacment is done 
26-08-2025
DTDC :- D3501317316",Service spare RE
23-08-2025,8KW-3PH,2411046097,,Inverter AP not visible,2503313546  /---,Kerala,"Calicut Solartech
ALLSUN - KERALA C.P",Roshan,FE Replacement is pending,,
28-08-2025,3.3KW-1PH,2505066056,,Not getting Turned ON,2411095120 - FE,Andra pradesh,"LEAP INDUSTRIES- Nellore ,AP",Praveen,FE Replacement is done,"28-08-2025 RE service replacement is done 
DTDC :-D3501286285",
05-09-2025,3.3KW-1PH,2501054359,,inverter not detecting online and offline,2506015113-FE,Andra pradesh,"LEAP INDUSTRIES- Nellore ,AP",Praveen,FE Replacement is done,"New replacement inverter  FE done 06-09-25
DTDC :- D3501713504",
05-09-2025,3KW-1PH,2505126499,,Not getting Turned ON,2505146355 / --,Karnataka,"Arrow Power Control
C.P :- SUNAP ",Praveen,FE Replacement is pending,,
15-09-2025,3KW-1PH,2411125068,,Display not working inverter working.,"
FE- 2505315147  ",Uttra Pradesh,"2411123060 SELCO 16-09-2025
2411123182 20-09-2025",Satyendra,"FE Replacement done 29-10-25
Scorpion : 63104345",Trackon : 500553779777 20-09-2025,
17-09-2025,4.2KW-1PH,2501077317,,F35 Goodwill # Ketki ,,Uttra Pradesh,Roofsoll,Satyendra,,"Service Refurblished inverter 
Delhivery :-276253272",Service spare RE
26-09-2025,3.3KW -1Ph,2505126662,,F-24 (dc leakage current),2505126607 /  2505315145-FE,Uttra Pradesh,Electrical trendz,Devesh,FE Replacement is done,"DP world 21-11-2025
1302518953 ",
30-09-2025,6KW-1PH,2503226833,,MPPT Short DC side ,2501087202 / 2505146971-FE,Gujarat,ANP SOLAR Ahmedabad,Satyendra,FE Replacement is done,Scorpion 50011585 / 13-11-2025,
20-09-2025,3.3KW-1PH,2501032264,,F-19 Hardware failure ,2505146324 /--,,chaitnya shree,Devesh,FE Replacement is pending,from chaitayasri - 03-11-2025,
02-10-2025,5KW-1PH,2501076524,,F-33 AC current faulty,2505081066  /-,,Roofsol Punjab,"CSM,Praveen",FE Replacement is pending,,
08-10-2025,5KW-1PH,2408154806,,display off igbt damage,2501086182  / 2501082477-FE,,Aamoksh solar,Satyendra,FE Replacement is done,Scorpion 50011585 / 13-11-2025,
14-10-2025,6KW-1PH,2410306559,,AP signal not detecting issue - FG,2505081057-FE,,Roofsol,Grupreet / Harshi,FE Replacement is done,Delhivery - 286430612  / 19-11-2025,
13-10-2025,3.3KW-1PH,2411123040,,1 ac inductor coil burnt case,2411123075 / 2506176445 -FE,,Saransh solar power / RPPL,Devesh,"FE Replacement done 29-10-25
Scorpion : 63104345",,
10-10-2025,3KW-1pH,2503316016,,inverter not turn on ,2503296518 / 2505126488 ,,PCR POWER PVT. LTD,Devesh,"FE factory replacement is done 
DTDC : D3501317449 / 15-10-2025",from factory 15-10-2025,
22-10-2025,6KW-1PH,2501082565,,COM ERROR with low production,2501086969,,GLOW POWER,Vignesh,From Factory to Glowpower ,-,
23-10-2025,5KW-1PH,2504173443,,Faulty Communication Card,,,Balinder singh haryana (livguard),Susil,"Faulty card : 3433569670
New Card : 3422709512 ",OEM ,
24-10-2025,4.2KW-1PH,2501075586,,Self check error repeated ,2501075726  / 2501054520 -FE,,RPPL - Lucknow,Satyendra,"FE Replacement done 29-10-25
Scorpion : 63104345",,
25-09-2025,3KW-1PH,2503296448,,NA,2506126116,,Radha Rani Enterprises,"Sales -Shubham 
Approved - COO / HOD",Without service KT - Sales & distributor interally changed their own stock ,,
24-10-2025,5KW-1PH,2404106261,,Com.error,2501082451,,- ,Harshi / Satyendra,"after changing the control card inverter is working.
2505146970",DOne 10-11-2025,
06-10-2025,3.3KW-1PH,2411095023,,MPPT short,2501041306,,vindhyavasini enterprises Mirzapur,Devesh,Service standby inverter ,07-10-2025 replacment has been done ,
4-11-2025,5KW-1PH,2501087298,,Com.error (Day-1 start the system ),2501082457,,Green Life Solutions- Nagpur,Satyendra,From Factory Scorpian 10-11-2025,Scorpian 63104276,
4-11-2025,6KW-1PH,2501077600,,Com.error (Day-1 start the system ),2506084401,,Green Life Solutions- Nagpur,Satyendra,From Factory Scorpian 10-11-2025,Scorpian 63104276,
12-08-2025,5KW-1PH,2501087332,,Com.error (Day-1 start the system ),2501087494,,Green Life Solutions- Nagpur,Satyendra,From Factory Scorpian 10-11-2025,Scorpian 63104276,
5-11-2025,5KW-1PH,2505075769,,Not turn on Day-1 inverter ,2501082461 - FE,,Hohbert Alen Ealias,Roshan,Service standby inverter ,D3502604313 ( 08-11-2025) DTDC,
30-09-2025,10KW-3PH,2408197150,,F55 Error,2408197094 / 2501091618 FE,,"Aanoksh solar,gujarat",Satyendra,FE Replacement is done,Scorpion 50011585 / 13-11-2025,
11-11-2025,4.2KW-1PH,2501077445,,7month running inverter - Display Off,FE(S) - 2504306165,,PATEL SOLAR POWER - VARANASI,Sohail,Service standby inverter ,"2504306165 - FE
DTDC D3502604328 11-11-2025",
14-11-2025,5KW-1PH,2501082533,,Warning error (day-1),--,,Green Life Solutions- Nagpur,Satyendra,--,,
17-11-2025,5KW-3PH,2411082394,FG,Inverter off ( site spare inverter working ),"24081011311 /
2501086450 - FE",,Roofsol Home - Assam,Satyendra,FE Replacement is done,"DP WORLD: 1302518952 21-11-2025
FE - 2501086450",
,12KW-3PH,2411135337,FG,,,,,,,,
19-11-2025,3KW-1PH,2408087501,FG,F30 ,2503296448,,Selco Solar Light Kundapura,Praveen,FE Replacement is done,Delhivery Tracking number: 275992271,
21-11-2025,6.2KW-1PH,2505071076,FG,DC side MPPT short,2505071069 /--,,RPPL,Devesh ,FE pending ,,
,5KW-1PH,2505081017,FG,Brand new inverter MPPT short Issue ,2506084291 /--,,ALLSUN,Roshan,FE pending ,,
24-11-2025,3KW-1PH,2506176447,FG,Day-1 Com.error,2506196494 / --,,SUNAP,Praveen,FE pending ,,
20-11-2025,15KW-3PH,2507070770,DEYE,"Actual inverter Deye 
SUNAP replacement FESTON ",SUNAP - 2508285831 (FESTON),,SUNAP,Praveen,FE pending ,,