,Faulty inverter deatils,,ISSUE,C.P or Distr./ FE Replacement S.N,EPC CUSTOMER DETAILS,FE Engineer,"Venkatesh Remark
Sales stock New Replacement",,
DATE,Rating /Ph,Serial Number,,,,,,,
7/23/2024,5KW-1PH,2404136859,"Inverter not working with Error code of F19, After Factory reset also same issue contioues",2404136973,ALLSUN ENERGY,ARUN NAIR,,,
11/18/2024,5KW-1PH,2404106251,MPPT SHORT,2408166633,SN ENERGY,RAMMURTHY,,,
11/20/2024,5KW-1PH,2404146094,DC AMPS ZERO,2404136813,REAL POWER(8893608899),RAMMURTHY,,,
11/27/2024,5KW-1PH,2408171034,MPPT SHORT,2408166651 / 2404136824,SPECTRUM TECHNO,RAMMURTHY,FE,,
12/24/2024,4KW-1PH,2404131359,F35 issue voltage not sensing inverter,2404187014,Selco solar (ANDHRA),ANANDH / VIGNESH,FE,,
12/25/2024,5KW-1PH,2404106286,MPPT SHORT,2404104247 / 2404106285,SOLWATT,Vignesh,FE,,
1/3/2025,5KW-1PH,2404136984,F39,2408156549/ 2408156540,REFFTECH SOLAR kerala,Anand,FE,,
2/28/2025,3.3KW-1PH,2408146989,inverter display not working,2408146808 / 2404141816,S P Enterprise-Varanasi,satyendra,FE,,
3/29/2025,6 KW-3PH,2408101283,mppt short,2408101295 /2412223033,ASHISH ENTERPRISES,Satyendra,FE,,
3/15/2025,5KW-1PH,2408154786,DL AP not visible,2408166763 ( Repaired) /,ALLSUN ENERGY - Kerala,ROSHAN,,,
3/19/2025,5KW-1PH,2408166689,Inverter not producing and then not turning ON,2404136822 / 2501070167,REAL POWER SYSTEM- Kerala,ROSHAN,FE,,
3/24/2025,5KW-1PH,2404106273,Inverter not turning ON. new installation.,2404106285 / 2501076514,MILASHIE POWER- Kerala,ROSHAN,FE,,
3/29/2025,5KW-1PH,2408166737,Inverter not producing Power,2404146086 / 2501070156,ZAKION RENEWABLES- Kerala,ROSHAN,FE,,
3/12/2025,3KW-1PH,2408087498,INVERTER NOT TURNING ON EVEN AFTER GIVING DC SUPPLY,2411123388 / 2411125119 ,selco solar karkala,ANANDH,FE,,
3/26/2025,10KW-3PH,2404224517,Inverter not turning ON,2407098002,Sekhmet Energy,ROSHAN,FE,,
4/4/2025,3KW-1PH,2411125778,Inverter not turning ON. new installation.,2404110536,"Sincere Solutions-Bangalore, KA",ROSHAN,FE,,
4/3/2025,5KW-1PH,2404136836,Low production issue & Fan fault,2404106260 / 2506084399-FE,"Highgrid Associates, Kannur-KL",ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
4/11/2025,5KW-1PH,2411096350,MPPT Short.,2411096548 / 2501076550,Nazim - Calicut Kerala,ROSHAN,FE,,
4/16/2025,5KW-1PH,2408166714,Inverter not producing Power even DC AC Voltage supplied,2404064110 / 2501075012,Zakion renewables - Ottappalam -KL,ROSHAN,FE,,
4/4/2025,10.KW-3PH,2404126461,Inverter not producing Power with DC and AC supply,2404224536,Ray Technologies-Trivandrum ,ROSHAN,FE PENDING,,
4/28/2025,2.7KW-1PH,2404082947,F39 – AC current sensing high,2404110536,Selco Solar - Kollam,ROSHAN,FE,,
4/10/2025,3KW-1PH,2408087169,MPPT SHORT,2411123213 / 2408131407 ,Selco Solar - UDUPI,Satyendra,FE,,
4/23/2025,3KW-1PH,2411141136,Inverter data not getting.logger is onlinne,2404110716,"Sundropes energy solutions,Kasargod - KL",ROSHAN,FE,,
4/27/2025,5KW-1PH,2408166722,Inverter not turning ON,"2404136859 - FE(P)
2506084568-FE",Voltix Technologies -Trivandrum,Satyendra,"Service Spare inverter (Failed )
FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025",,Service spare RE
4/28/2025,3KW-1PH,2411141137,AP not visiblle,"2408154572 Service standby
2501097706 (SUNAP)
2505146536 ( FESTON )",Orbit Technology- Kerala,ROSHAN,"Service Spare inverter / New replacement done by SUNAP 
18-07-2025",From factory Service replacemnet is done 26-08-2025 FE-2505146536,
4/28/2025,2.7KW-1PH,2404082947,Over AC current alert F39,2404110536 - FE,Selco Solar Light -Manipal,ROSHAN,Service Spare inverter,FE,Service spare RE
4/24/2025,5KW-1PH,2404146160,Over AC current warning F39,2408171034,,ROSHAN,"SPARE INV at SITE 
Faulty to BLR",,
4/30/2025,10KW-3PH,2407214358,self check repeating,2404126461 - FE,SEKHMET ENERGY INDIA -kottyam,ROSHAN,Service Spare inverter,FE,Service spare RE
11/21/2025,LOGGER,2947587574,12KW-3PH-ONGRID 2404884517 - Logger issue,LOGGER : 2974129156,SEKHMET ENERGY KERALA,ROSHAN,FE,,
12/18/2025,LOGGER,2944263200,12KW -3PH - 2404126454 Logger issue,LOGGER : 2390110943,Afra engineers - SUNAP KL,HARI-DEYE,FE,,
2/14/2025,LOGGER,2993719762,8KW-3PH - 2408101426 Logger issue,ALLSUN Service spare,Reed Energy- ALLSUN KL,ROSHAN,,,
2/22/2025,LOGGER,2941452410,NA,ALLSUN Service spare,Dauthya tehcnologies,ROSHAN,,,
2/22/2025,LOGGER,2993389825,NA,New Logger : 2399272398,Sundropes Energy solution,ROSHAN,,,
3/12/2025,LOGGER,2985043603,10KW-3Ph,New logger : 2332088469,Sundropes Energy solution,ROSHAN,,,
4/22/2025,LOGGER,2404226496,10KW-3Ph,New logger : 2731491946,Poweron calicut,ROSHAN,,,
5/2/2025,10KW-3PH,2404226505,Multiple errror occuring F18. F55,2501106550 / 2501097791 -FE,Highgrid Associates,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
5/5/2025,10KW-3PH,2404224536,Inverter not turning ON - ticking sound only,2501106569 / 2501091638 -FE,Ray technologies - Thiruvandram,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
5/5/2025,3KW-1PH,2408087167,inverter not turned on,2411094053 -FE,Selco Solar Light Pvt Ltd (9844274552)- GP,ANANDH,Service Spare inverter,FE,Service spare RE
5/24/2025,8KW-3PH,2404184314,Self check error repeated,2501102313 / 2503293680,Arkaa green Bikaner-Bikaner,Satyendra,Replaced done 02-07-2025,FE,
5/17/2025,10KW-3PH,2408197103,Selfcheck repeated error MPPT,25011030201 / 2503313384,SUNAP-KA // S Technologies,PRAVEEN,Replaced done 30-5-25,FE,
5/21/2025,4KW- 1PH,2408154754,Inverter not getting Turn ON (Display Blank),2404196837 / 2503276197,ROOFSOL,PRAVEEN,Replacement is done 08-08-2025,"Scarpia courier chennai to Roofsol 
ID : 62986642",FE
5/20/2025,5KW-3PH,2408101338,F35 Error * multiple issue,// 2404184253 ,SELCO SOLAR - KA,Vignesh,Service Spare inverter -Factory,"G.P - Service spare inverter 
8KW-3Ph : 2404224552",Service spare RE
5/28/2025,5KW -1PH,2410306587,"N-PE voltage variation, measuring around 12V.F19 Error",2411096701 /--,"Nexa Power Solution, Lucknow","ROSHAN 
SATYENDRA",FE replacement pending,Vignesh APproved it,
6/2/2025,10KW - 3PH,2501106780,"F10 Aux power board failure error, Inverter not producing lower daily units",2501105194 / 2501096498-FE,Poweron Solar,ROSHAN,FE replacemnet is done by ALLSUN OWN vehicle 29-10-2025,,
31-06-2025,3KW- 1PH,24081312339,Inverter not getting Turn ON (Display Blank),- / 2408154677,Selco solar light private limited-,PRAVEEN,FE Replacement is done,,FE
6/28/2025,5.2KW - 1PH,2503226518,The inverter display remains unresponsive despite receiving DC supply.,2503222139 / 2501087217 FE,bharat solar.lucknow,Satyendra,FE Replacement is done,11-09-2025 from factory SCORPION -63042204,
7/10/2025,10KW-3PH,2411135343,F64 Temp sensor fAulty,2503311318 / 2503311187,--,Satyendra,FE Replacement is done,"19-07-2025 courieredscorpiagroup tracking no :
62934218",FE
7/12/2025,5KW-1PH,2408176049,"wifi not connecting,>>wizard not displaying any of the network",-/ 2501082412,"Metawave, Gronfro Innovations LLP",Roshan,FE Replacement is done,19.07.2025 via DTDC (Tracking No: D3500975314),FE
7/24/2025,3.3KW -1PH,2501041306,F24 Error,2411136070 FE / 2504306256,"solar cube green(varanasi)
chaitnya shree (C.P)","PRAVEEN
Devesh",FE Replacement is done,"Replacement done by C.P 30-07-2025
11-09-2025 from factory SCORPION -63042204
",
7/23/2025,3.3KW -1PH,2411095120,MPPT Short DC side,FE 24111350892 / 2505066030,Shaswat Solar Solution AZAMGARH,"PRAVEEN
Devesh",FE Replacement is done,"Replacement done by C.P 01-08-2025
11-09-2025 from factory SCORPION -63042204
",
7/29/2025,5.2KW - 1PH,2501077626,comm error,--- / 2505075687,Rao Solar Energy,"HARSHI
PRAVEEN / DEVESH",FE Replacement is pending,,
7/30/2025,10.0KW-3PH,2405046448,F55 Error,2503290780 /2503293708,Green Life Solutions- MH,Devesh / Satyendra,FE Replacement is done,"From FE fatcory FE 20-08-2025
scorpion 62986613",
8/14/2025,6.2KW-1PH,2503226535,Dc Side - MPPT short,2503226590 / 2404106286 ,"CP- Milan Solar 
solar solution company -2404106286 FE",Devesh / Satyendra,FE Replacement is done,"FE service replacement is done 
DTDC :-D3501286279",Service spare RE
8/4/2025,6.0KW -1PH,2501082563,inverter Display off,2505081096,Vimco Solar,Devesh / Satyendra,FE Replacement is done,Replacment is done by FE 20-08-2025,
8/18/2025,5.0KW-1PH,"2505081057-/-
2505075872",Not Generating power,,Energy Harvest- AP,Praveen,FE Replacement is done,"Service standby replacement done
19-08-2025",Service spare RE
8/19/2025,5.0KW-1PH,2404131568,Dc Side - MPPT short,2408176049,Radhya enterprises -Agra,Devesh,FE Replacement is done,"FE factory service replacment is done 
26-08-2025
DTDC :- D3501317316",Service spare RE
8/23/2025,8.0KW-3PH,2411046097,Inverter AP not visible,2503313546 /---,"Calicut Solartech
ALLSUN - KERALA C.P",Roshan,FE Replacement is pending,,
8/28/2025,3.3KW-1PH,2505066056,Not getting Turned ON,2411095120 - FE,"LEAP INDUSTRIES- Nellore ,AP",Praveen,FE Replacement is done,"28-08-2025 RE service replacement is done 
DTDC :-D3501286285",
9/5/2025,3.3KW-1PH,2501054359,inverter not detecting online and offline,2506015113-FE,"LEAP INDUSTRIES- Nellore ,AP",Praveen,FE Replacement is done,"New replacement inverter FE done 06-09-25
DTDC :- D3501713504",
9/5/2025,3.0KW-1PH,2505126499,Not getting Turned ON,2505146355 / --,"Arrow Power Control
C.P :- SUNAP",Praveen,FE Replacement is pending,,
9/15/2025,3.0KW-1PH,2411125068,Display not working inverter working.,"
FE- 2505315147  ","2411123060 SELCO 16-09-2025
2411123182 20-09-2025",Satyendra,"FE Replacement done 29-10-25
Scorpion : 63104345",Trackon : 500553779777 20-09-2025,
9/17/2025,4.2KW-1PH,2501077317,F35 Goodwill # Ketki,,Roofsoll,Satyendra,,"Service Refurblished inverter 
Delhivery :-276253272",Service spare RE
9/26/2025,3.3KW -1Ph,2505126662,F-24 (dc leakage current),--/ 2505126607,Electrical trendz,Devesh,FE Replacement is pending,--,
9/30/2025,6.0KW-1PH,2503226833,MPPT Short DC side,---,ANP SOLAR Ahmedabad,Satyendra,FE Replacement is pending,,
9/20/2025,3.3KW-1PH,2501032264,F-19 Hardware failure,2505146324 /--,chaitnya shree,Devesh,FE Replacement is pending,from chaitayasri - 03-11-2025,
10/2/2025,5.0KW-1PH,2501076524,F-33 AC current faulty,2505081066 /-,Roofsol Punjab,"CSM,Praveen",FE Replacement is pending,,
10/8/2025,5.0KW-1PH,2408154806,display off igbt damage,2501086182 /-,Aamoksh solar,Satyendra,FE Replacement is pending,,
10/14/2025,6.0KW-1PH,2410306559,AP signal not detecting issue - FG,,Roofsol,Grupreet / Harshi,-,,
10/13/2025,3.3KW-1PH,2411123040,1 ac inductor coil burnt case,2411123075 / 2506176445 -FE,Saransh solar power / RPPL,Devesh,"FE Replacement done 29-10-25
Scorpion : 63104345",,
10/10/2025,3.0KW-1pH,2503316016,inverter not turn on,2503296518 / 2505126488 ,PCR POWER PVT. LTD,Devesh,"FE factory replacement is done 
DTDC : D3501317449 / 15-10-2025",from factory 15-10-2025,
10/22/2025,6.0KW-1PH,2501082565,COM ERROR with low production,2501086969,GLOW POWER,Vignesh,From Factory to Glowpower,-,
10/23/2025,5.0KW-1PH,2504173443,Faulty Communication Card,,Balinder singh haryana (livguard),Susil,"Faulty card : 3433569670
New Card : 3422709512",OEM,
10/24/2025,4.2KW-1PH,2501075586,Self check error repeated,2501075726 / 2501054520 -FE,RPPL - Lucknow,Satyendra,"FE Replacement done 29-10-25
Scorpion : 63104345",,
9/25/2025,3.0KW-1PH,2503296448,NA,2506126116,Radha Rani Enterprises,"Sales -Shubham 
Approved - COO / HOD",Without service KT - Sales & distributor interally changed their own stock,,
10/24/2025,5.0KW-1PH,2404106261,Com.error,2501082451,-,Harshi / Satyendra,Waiting email record,,